datetime,open,high,low,close,volume
2025-04-29 13:17:00,209.47,209.47,209.47,209.47,345.0
2025-04-29 13:18:00,209.17,209.17,209.17,209.17,827.0
2025-04-29 13:19:00,209.2,209.2,209.2,209.2,478.0
2025-04-29 13:20:00,209.1747,209.24,209.1,209.1,3251.0
2025-04-29 13:21:00,209.16,209.29,209.14,209.29,2655.0
2025-04-29 13:22:00,209.15,209.15,209.1,209.11,1011.0
2025-04-29 13:23:00,209.09,209.1,209.08,209.08,2620.0
2025-04-29 13:24:00,209.12,209.13,208.9,208.96,7975.0
2025-04-29 13:25:00,209.2,209.4974,209.2,209.43,3259.0
2025-04-29 13:26:00,209.53,209.7,209.5,209.56,1915.0
2025-04-29 13:27:00,209.56,209.9415,209.5,209.5,9512.0
2025-04-29 13:28:00,209.37,209.37,208.63,208.889,23358.0
2025-04-29 13:29:00,208.88,208.8899,208.6,208.85,21107.0
2025-04-29 13:30:00,208.693,209.07,208.39,208.39,652545.0
2025-04-29 13:31:00,208.43,209.08,208.37,208.98,162620.0
2025-04-29 13:32:00,208.93,209.582,208.74,209.525,132846.0
2025-04-29 13:33:00,209.53,209.55,209.15,209.26,94532.0
2025-04-29 13:34:00,209.23,209.32,209.02,209.21,60576.0
2025-04-29 13:35:00,209.25,209.3642,209.05,209.3642,62101.0
2025-04-29 13:36:00,209.36,209.43,209.17,209.31,66871.0
2025-04-29 13:37:00,209.281,209.35,209.2,209.2503,51918.0
2025-04-29 13:38:00,209.27,209.61,209.22,209.44,78733.0
2025-04-29 13:39:00,209.44,210.025,209.425,210.025,138451.0
2025-04-29 13:40:00,210.02,210.21,209.79,210.01,120272.0
2025-04-29 13:41:00,210.01,210.15,209.71,209.91,78112.0
2025-04-29 13:42:00,209.904064,210.0599,209.82,209.82,71008.0
2025-04-29 13:43:00,209.845,210.47,209.81,210.36,87479.0
2025-04-29 13:44:00,210.3774,210.3899,210.23,210.2917,51505.0
2025-04-29 13:45:00,210.29,210.66,210.224,210.66,132536.0
2025-04-29 13:46:00,210.665,210.77,210.5403,210.6035,88911.0
2025-04-29 13:47:00,210.573045,210.862,210.5701,210.8373,93001.0
